project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
advanced encryption standard,graduated,"schluessel,symmetrisch,verschluesselung",1997-01-02,1997-01-02,2000-10-02,2000-10-02,,1,2025-11-11
agent network protocol,graduated,"agent,kommunikation,agentische-ki",2024-10-23,2024-10-23,2024-10-24,2025-05-19,,1,2025-11-11
agent-to-agent protocol,graduated,"agent,prozess,agentische-ki,automatisierung",2025-03-26,2025-03-26,2025-06-09,2025-06-30,,4,2025-11-11
agent-user interaction protocol (ag-ui),sandbox,"agent,agentische-ki,user-interface",2025-05-07,2025-05-07,,,,1,2025-11-11
android,graduated,"mobil,app,betriebssystem",2008-09-23,,2008-09-23,2025-06-10,,3,2025-11-11
angel-ml,graduated,"machine-learning,verarbeitung,ml",2017-06-15,,2017-06-15,2021-08-18,,1,2025-11-11
angular,graduated,"webframework,user-interface",2014-11-25,2014-11-25,2021-02-11,2025-09-17,,2,2025-11-11
appsmith,graduated,"rest-graphql,open-source,drag-drop,javascript",2020-06-29,,2020-06-29,2025-08-11,,1,2025-11-11
axolotl,graduated,"verarbeitung,training,feintuning",2023-05-30,,2023-05-30,2025-08-18,,2,2025-11-11
blink,graduated,"webseite,browser-engine,rendern",2013-04-03,,2013-04-03,2025-10-01,,2,2025-11-11
bluetooth,graduated,"kurze-distanz,pairing,koppeln,drahtlos,funk,wpan",1998-09-01,1998-09-01,1999-07-01,2025-04-29,,1,2025-11-11
border gateway protocol (bgp),graduated,"netzwerk,isp,routing",1989-01-01,1989-01-01,1994-01-01,2024-02-12,,1,2025-11-11
budibase,graduated,"automations,open-source,datenquellen,low-code",2019-06-06,,2019-06-06,2025-09-19,,2,2025-11-11
c++,graduated,"programmierung,sprache",1983-01-01,1983-01-01,1985-01-01,2024-10-19,,1,2025-11-11
cassandra,graduated,"nosql,datenbank,spalten",2008-07-01,,2008-07-01,2025-08-05,,1,2025-11-11
chroma,graduated,"datenbank,vektor",2022-10-22,,2022-10-22,2025-10-05,,2,2025-11-11
circleci,graduated,"pipeline,cd,bereitstellung,ci",2011-01-01,,2011-01-01,2025-09-26,,2,2025-11-11
comma-separated values (csv),graduated,datenformat,2005-10-01,,2005-10-01,2014-01-01,,1,2025-11-11
